
larastan:Larastan Analysis:vendor/bin/phpstan analyse --memory-limit=2G -c phpstan-laravel.neon:1
phpmd:PHP Mess Detector:vendor/bin/phpmd app,config,database,routes text cleancode,codesize,controversial,design,naming,unusedcode:2
phpcpd:PHP Copy/Paste Detector:vendor/bin/phpcpd app:127
unit-CarouselComponentTest:Unit Test CarouselComponentTest:vendor/bin/phpunit tests/Unit/CarouselComponentTest.php:1
unit-CDNIntegrationTest:Unit Test CDNIntegrationTest:vendor/bin/phpunit tests/Unit/CDNIntegrationTest.php:1
unit-CertificateValidationTest:Unit Test CertificateValidationTest:vendor/bin/phpunit tests/Unit/CertificateValidationTest.php:1
unit-ChangeLogTest:Unit Test ChangeLogTest:vendor/bin/phpunit tests/Unit/ChangeLogTest.php:1
unit-ChineseLanguageTest:Unit Test ChineseLanguageTest:vendor/bin/phpunit tests/Unit/ChineseLanguageTest.php:1
unit-ClassDocumentationTest:Unit Test ClassDocumentationTest:vendor/bin/phpunit tests/Unit/ClassDocumentationTest.php:1
unit-ClassificationAlgorithmTest:Unit Test ClassificationAlgorithmTest:vendor/bin/phpunit tests/Unit/ClassificationAlgorithmTest.php:1
unit-CodeInjectionPreventionTest:Unit Test CodeInjectionPreventionTest:vendor/bin/phpunit tests/Unit/CodeInjectionPreventionTest.php:1
unit-ClusteringAlgorithmTest:Unit Test ClusteringAlgorithmTest:vendor/bin/phpunit tests/Unit/ClusteringAlgorithmTest.php:1
unit-ClassOptimizationTest:Unit Test ClassOptimizationTest:vendor/bin/phpunit tests/Unit/ClassOptimizationTest.php:1
unit-CodeCommentsTest:Unit Test CodeCommentsTest:vendor/bin/phpunit tests/Unit/CodeCommentsTest.php:1
unit-CodeExamplesTest:Unit Test CodeExamplesTest:vendor/bin/phpunit tests/Unit/CodeExamplesTest.php:1
unit-ComplianceCheckTest:Unit Test ComplianceCheckTest:vendor/bin/phpunit tests/Unit/ComplianceCheckTest.php:1
unit-CommandInjectionPreventionTest:Unit Test CommandInjectionPreventionTest:vendor/bin/phpunit tests/Unit/CommandInjectionPreventionTest.php:1
unit-ComputerVisionTest:Unit Test ComputerVisionTest:vendor/bin/phpunit tests/Unit/ComputerVisionTest.php:1
unit-ConcurrentAccessTest:Unit Test ConcurrentAccessTest:vendor/bin/phpunit tests/Unit/ConcurrentAccessTest.php:1
unit-ConcurrentUsersTest:Unit Test ConcurrentUsersTest:vendor/bin/phpunit tests/Unit/ConcurrentUsersTest.php:1
unit-ConnectionPoolingTest:Unit Test ConnectionPoolingTest:vendor/bin/phpunit tests/Unit/ConnectionPoolingTest.php:1
unit-ConfigServiceTest:Unit Test ConfigServiceTest:vendor/bin/phpunit tests/Unit/ConfigServiceTest.php:1
unit-ConfigurationDocumentationTest:Unit Test ConfigurationDocumentationTest:vendor/bin/phpunit tests/Unit/ConfigurationDocumentationTest.php:1
unit-ConfigurationEndpointTest:Unit Test ConfigurationEndpointTest:vendor/bin/phpunit tests/Unit/ConfigurationEndpointTest.php:1
unit-ConsoleAuthorizationTest:Unit Test ConsoleAuthorizationTest:vendor/bin/phpunit tests/Unit/ConsoleAuthorizationTest.php:1
unit-ContentSecurityPolicyTest:Unit Test ContentSecurityPolicyTest:vendor/bin/phpunit tests/Unit/ContentSecurityPolicyTest.php:1
unit-ControllerAuthorizationTest:Unit Test ControllerAuthorizationTest:vendor/bin/phpunit tests/Unit/ControllerAuthorizationTest.php:1
unit-AnalyticsControllerTest:Unit Test AnalyticsControllerTest:vendor/bin/phpunit tests/Unit/AnalyticsControllerTest.php:2
unit-BaseApiControllerTest:Unit Test BaseApiControllerTest:vendor/bin/phpunit tests/Unit/BaseApiControllerTest.php:2
unit-OrderControllerTest:Unit Test OrderControllerTest:vendor/bin/phpunit tests/Unit/OrderControllerTest.php:2
unit-CookieSecurityTest:Unit Test CookieSecurityTest:vendor/bin/phpunit tests/Unit/CookieSecurityTest.php:1
unit-CookieAuthenticationTest:Unit Test CookieAuthenticationTest:vendor/bin/phpunit tests/Unit/CookieAuthenticationTest.php:1
unit-ControllerServiceTest:Unit Test ControllerServiceTest:vendor/bin/phpunit tests/Unit/ControllerServiceTest.php:1
unit-CookieManagementTest:Unit Test CookieManagementTest:vendor/bin/phpunit tests/Unit/CookieManagementTest.php:1
unit-AnalyticsServiceTest:Unit Test AnalyticsServiceTest:vendor/bin/phpunit tests/Unit/AnalyticsServiceTest.php:2
unit-CacheServiceTest:Unit Test CacheServiceTest:vendor/bin/phpunit tests/Unit/CacheServiceTest.php:2
unit-CookieServiceTest:Unit Test CookieServiceTest:vendor/bin/phpunit tests/Unit/CookieServiceTest.php:1
unit-ExchangeRateServiceTest:Unit Test ExchangeRateServiceTest:vendor/bin/phpunit tests/Unit/ExchangeRateServiceTest.php:2
unit-CoprraServiceProviderTest:Unit Test CoprraServiceProviderTest:vendor/bin/phpunit tests/Unit/CoprraServiceProviderTest.php:2
unit-PriceHelperTest:Unit Test PriceHelperTest:vendor/bin/phpunit tests/Unit/PriceHelperTest.php:2
unit-WebhookServiceTest:Unit Test WebhookServiceTest:vendor/bin/phpunit tests/Unit/WebhookServiceTest.php:2
unit-StoreAdapterManagerTest:Unit Test StoreAdapterManagerTest:vendor/bin/phpunit tests/Unit/StoreAdapterManagerTest.php:2
unit-CrossValidationTest:Unit Test CrossValidationTest:vendor/bin/phpunit tests/Unit/CrossValidationTest.php:1
unit-CrossBrowserTest:Unit Test CrossBrowserTest:vendor/bin/phpunit tests/Unit/CrossBrowserTest.php:1
unit-CreatesApplicationTest:Unit Test CreatesApplicationTest:vendor/bin/phpunit tests/Unit/CreatesApplicationTest.php:1
unit-CSRFPreventionTest:Unit Test CSRFPreventionTest:vendor/bin/phpunit tests/Unit/CSRFPreventionTest.php:1
unit-CSVServiceTest:Unit Test CSVServiceTest:vendor/bin/phpunit tests/Unit/CSVServiceTest.php:1
unit-CSVImportTest:Unit Test CSVImportTest:vendor/bin/phpunit tests/Unit/CSVImportTest.php:1
unit-CurrencyFormatLocalizationTest:Unit Test CurrencyFormatLocalizationTest:vendor/bin/phpunit tests/Unit/CurrencyFormatLocalizationTest.php:1
unit-CustomValidationTest:Unit Test CustomValidationTest:vendor/bin/phpunit tests/Unit/CustomValidationTest.php:1
unit-CurrencyConversionTest:Unit Test CurrencyConversionTest:vendor/bin/phpunit tests/Unit/CurrencyConversionTest.php:2
unit-DataConsistencyTest:Unit Test DataConsistencyTest:vendor/bin/phpunit tests/Unit/DataConsistencyTest.php:2
unit-DataValidationTest:Unit Test DataValidationTest:vendor/bin/phpunit tests/Unit/DataValidationTest.php:2
unit-DashboardPageTest:Unit Test DashboardPageTest:vendor/bin/phpunit tests/Unit/DashboardPageTest.php:1
unit-DataIntegrityTest:Unit Test DataIntegrityTest:vendor/bin/phpunit tests/Unit/DataIntegrityTest.php:2
unit-PaymentAccuracyTest:Unit Test PaymentAccuracyTest:vendor/bin/phpunit tests/Unit/PaymentAccuracyTest.php:2
unit-InventoryAccuracyTest:Unit Test InventoryAccuracyTest:vendor/bin/phpunit tests/Unit/InventoryAccuracyTest.php:2
unit-DiscountCalculationTest:Unit Test DiscountCalculationTest:vendor/bin/phpunit tests/Unit/DiscountCalculationTest.php:2
unit-OrderAccuracyTest:Unit Test OrderAccuracyTest:vendor/bin/phpunit tests/Unit/OrderAccuracyTest.php:2
unit-PriceAccuracyTest:Unit Test PriceAccuracyTest:vendor/bin/phpunit tests/Unit/PriceAccuracyTest.php:2
unit-PriceHistoryAccuracyTest:Unit Test PriceHistoryAccuracyTest:vendor/bin/phpunit tests/Unit/PriceHistoryAccuracyTest.php:2
unit-ProductMatchingTest:Unit Test ProductMatchingTest:vendor/bin/phpunit tests/Unit/ProductMatchingTest.php:2
unit-ShippingAccuracyTest:Unit Test ShippingAccuracyTest:vendor/bin/phpunit tests/Unit/ShippingAccuracyTest.php:2
unit-StoreDataValidationTest:Unit Test StoreDataValidationTest:vendor/bin/phpunit tests/Unit/StoreDataValidationTest.php:2
unit-TaxCalculationTest:Unit Test TaxCalculationTest:vendor/bin/phpunit tests/Unit/TaxCalculationTest.php:2
unit-DatabaseAuthorizationTest:Unit Test DatabaseAuthorizationTest:vendor/bin/phpunit tests/Unit/DatabaseAuthorizationTest.php:1
unit-DatabaseCreationTest:Unit Test DatabaseCreationTest:vendor/bin/phpunit tests/Unit/DatabaseCreationTest.php:1
unit-DatabaseCacheDriverTest:Unit Test DatabaseCacheDriverTest:vendor/bin/phpunit tests/Unit/DatabaseCacheDriverTest.php:1
unit-DatabaseDocumentationTest:Unit Test DatabaseDocumentationTest:vendor/bin/phpunit tests/Unit/DatabaseDocumentationTest.php:1
unit-DatabaseMigrationsTest:Unit Test DatabaseMigrationsTest:vendor/bin/phpunit tests/Unit/DatabaseMigrationsTest.php:1
unit-DatabaseQuerySpeedTest:Unit Test DatabaseQuerySpeedTest:vendor/bin/phpunit tests/Unit/DatabaseQuerySpeedTest.php:1
unit-DatabaseSeedingTest:Unit Test DatabaseSeedingTest:vendor/bin/phpunit tests/Unit/DatabaseSeedingTest.php:1
unit-DatabaseServiceTest:Unit Test DatabaseServiceTest:vendor/bin/phpunit tests/Unit/DatabaseServiceTest.php:1
unit-DatabaseShardingTest:Unit Test DatabaseShardingTest:vendor/bin/phpunit tests/Unit/DatabaseShardingTest.php:1
unit-DataDeletionTest:Unit Test DataDeletionTest:vendor/bin/phpunit tests/Unit/DataDeletionTest.php:1
unit-DatabaseTransactionsTest:Unit Test DatabaseTransactionsTest:vendor/bin/phpunit tests/Unit/DatabaseTransactionsTest.php:1
unit-DataFilteringTest:Unit Test DataFilteringTest:vendor/bin/phpunit tests/Unit/DataFilteringTest.php:1
unit-DataInsertionTest:Unit Test DataInsertionTest:vendor/bin/phpunit tests/Unit/DataInsertionTest.php:1
unit-DataPaginationTest:Unit Test DataPaginationTest:vendor/bin/phpunit tests/Unit/DataPaginationTest.php:1
unit-DataAccuracyTest:Unit Test DataAccuracyTest:vendor/bin/phpunit tests/Unit/DataAccuracyTest.php:2
unit-DataQualityMetricsTest:Unit Test DataQualityMetricsTest:vendor/bin/phpunit tests/Unit/DataQualityMetricsTest.php:2
unit-DataDuplicationTest:Unit Test DataDuplicationTest:vendor/bin/phpunit tests/Unit/DataDuplicationTest.php:2
unit-DataCompletenessTest:Unit Test DataCompletenessTest:vendor/bin/phpunit tests/Unit/DataCompletenessTest.php:2
unit-DataFreshnessTest:Unit Test DataFreshnessTest:vendor/bin/phpunit tests/Unit/DataFreshnessTest.php:2
unit-DataRelevanceTest:Unit Test DataRelevanceTest:vendor/bin/phpunit tests/Unit/DataRelevanceTest.php:2
unit-DataReliabilityTest:Unit Test DataReliabilityTest:vendor/bin/phpunit tests/Unit/DataReliabilityTest.php:2
unit-DataTimelinessTest:Unit Test DataTimelinessTest:vendor/bin/phpunit tests/Unit/DataTimelinessTest.php:2
unit-DataUniquenessTest:Unit Test DataUniquenessTest:vendor/bin/phpunit tests/Unit/DataUniquenessTest.php:2
unit-DataValidityTest:Unit Test DataValidityTest:vendor/bin/phpunit tests/Unit/DataValidityTest.php:2
unit-DuplicateDetectionTest:Unit Test DuplicateDetectionTest:vendor/bin/phpunit tests/Unit/DuplicateDetectionTest.php:2
unit-DataSortingTest:Unit Test DataSortingTest:vendor/bin/phpunit tests/Unit/DataSortingTest.php:1
unit-DataSelectionTest:Unit Test DataSelectionTest:vendor/bin/phpunit tests/Unit/DataSelectionTest.php:1
unit-DataUpdateTest:Unit Test DataUpdateTest:vendor/bin/phpunit tests/Unit/DataUpdateTest.php:1
unit-DataTablesTest:Unit Test DataTablesTest:vendor/bin/phpunit tests/Unit/DataTablesTest.php:1
unit-DateTimeValidationTest:Unit Test DateTimeValidationTest:vendor/bin/phpunit tests/Unit/DateTimeValidationTest.php:1
unit-DateFormatLocalizationTest:Unit Test DateFormatLocalizationTest:vendor/bin/phpunit tests/Unit/DateFormatLocalizationTest.php:1
unit-DateValidationTest:Unit Test DateValidationTest:vendor/bin/phpunit tests/Unit/DateValidationTest.php:1
unit-DecimalSeparatorLocalizationTest:Unit Test DecimalSeparatorLocalizationTest:vendor/bin/phpunit tests/Unit/DecimalSeparatorLocalizationTest.php:1
unit-DecisionTreeTest:Unit Test DecisionTreeTest:vendor/bin/phpunit tests/Unit/DecisionTreeTest.php:1
unit-DeepLearningTest:Unit Test DeepLearningTest:vendor/bin/phpunit tests/Unit/DeepLearningTest.php:1
unit-CanaryDeploymentTest:Unit Test CanaryDeploymentTest:vendor/bin/phpunit tests/Unit/CanaryDeploymentTest.php:2
unit-BlueGreenDeploymentTest:Unit Test BlueGreenDeploymentTest:vendor/bin/phpunit tests/Unit/BlueGreenDeploymentTest.php:2
unit-ConfigurationTest:Unit Test ConfigurationTest:vendor/bin/phpunit tests/Unit/ConfigurationTest.php:2
unit-CloudDeploymentTest:Unit Test CloudDeploymentTest:vendor/bin/phpunit tests/Unit/CloudDeploymentTest.php:2
unit-EnvironmentConfigurationTest:Unit Test EnvironmentConfigurationTest:vendor/bin/phpunit tests/Unit/EnvironmentConfigurationTest.php:2
unit-DevelopmentDeploymentTest:Unit Test DevelopmentDeploymentTest:vendor/bin/phpunit tests/Unit/DevelopmentDeploymentTest.php:2
unit-DockerDeploymentTest:Unit Test DockerDeploymentTest:vendor/bin/phpunit tests/Unit/DockerDeploymentTest.php:2
unit-InfrastructureTest:Unit Test InfrastructureTest:vendor/bin/phpunit tests/Unit/InfrastructureTest.php:2
unit-KubernetesDeploymentTest:Unit Test KubernetesDeploymentTest:vendor/bin/phpunit tests/Unit/KubernetesDeploymentTest.php:2
unit-ProductionDeploymentTest:Unit Test ProductionDeploymentTest:vendor/bin/phpunit tests/Unit/ProductionDeploymentTest.php:2
unit-RollingDeploymentTest:Unit Test RollingDeploymentTest:vendor/bin/phpunit tests/Unit/RollingDeploymentTest.php:2
unit-RollbackTest:Unit Test RollbackTest:vendor/bin/phpunit tests/Unit/RollbackTest.php:2
unit-StagingDeploymentTest:Unit Test StagingDeploymentTest:vendor/bin/phpunit tests/Unit/StagingDeploymentTest.php:2
unit-DeveloperGuideTest:Unit Test DeveloperGuideTest:vendor/bin/phpunit tests/Unit/DeveloperGuideTest.php:1
unit-DigitalSignatureTest:Unit Test DigitalSignatureTest:vendor/bin/phpunit tests/Unit/DigitalSignatureTest.php:1
unit-DimensionalityReductionTest:Unit Test DimensionalityReductionTest:vendor/bin/phpunit tests/Unit/DimensionalityReductionTest.php:1
unit-TestingDeploymentTest:Unit Test TestingDeploymentTest:vendor/bin/phpunit tests/Unit/TestingDeploymentTest.php:2
unit-DiskIOTest:Unit Test DiskIOTest:vendor/bin/phpunit tests/Unit/DiskIOTest.php:1
unit-DocumentAuthorizationTest:Unit Test DocumentAuthorizationTest:vendor/bin/phpunit tests/Unit/DocumentAuthorizationTest.php:1
unit-DocumentsPageTest:Unit Test DocumentsPageTest:vendor/bin/phpunit tests/Unit/DocumentsPageTest.php:1
unit-DynamicAuthorizationTest:Unit Test DynamicAuthorizationTest:vendor/bin/phpunit tests/Unit/DynamicAuthorizationTest.php:1
unit-DocumentUploadEndpointTest:Unit Test DocumentUploadEndpointTest:vendor/bin/phpunit tests/Unit/DocumentUploadEndpointTest.php:1
unit-DropdownMenusTest:Unit Test DropdownMenusTest:vendor/bin/phpunit tests/Unit/DropdownMenusTest.php:1
unit-EagerLoadingTest:Unit Test EagerLoadingTest:vendor/bin/phpunit tests/Unit/EagerLoadingTest.php:1
unit-EmailSendEndpointTest:Unit Test EmailSendEndpointTest:vendor/bin/phpunit tests/Unit/EmailSendEndpointTest.php:1
unit-EmailSystemTest:Unit Test EmailSystemTest:vendor/bin/phpunit tests/Unit/EmailSystemTest.php:1
unit-EmailServiceTest:Unit Test EmailServiceTest:vendor/bin/phpunit tests/Unit/EmailServiceTest.php:1
unit-EncryptionServiceTest:Unit Test EncryptionServiceTest:vendor/bin/phpunit tests/Unit/EncryptionServiceTest.php:1
unit-EmailVerificationTest:Unit Test EmailVerificationTest:vendor/bin/phpunit tests/Unit/EmailVerificationTest.php:1
unit-EncryptionStandardsTest:Unit Test EncryptionStandardsTest:vendor/bin/phpunit tests/Unit/EncryptionStandardsTest.php:1
unit-OrderStatusTest:Unit Test OrderStatusTest:vendor/bin/phpunit tests/Unit/OrderStatusTest.php:2
unit-EnsembleMethodsTest:Unit Test EnsembleMethodsTest:vendor/bin/phpunit tests/Unit/EnsembleMethodsTest.php:1
unit-EnglishLanguageTest:Unit Test EnglishLanguageTest:vendor/bin/phpunit tests/Unit/EnglishLanguageTest.php:1
unit-EnduranceTestingTest:Unit Test EnduranceTestingTest:vendor/bin/phpunit tests/Unit/EnduranceTestingTest.php:1
unit-UserRoleTest:Unit Test UserRoleTest:vendor/bin/phpunit tests/Unit/UserRoleTest.php:2
unit-EventAuthorizationTest:Unit Test EventAuthorizationTest:vendor/bin/phpunit tests/Unit/EventAuthorizationTest.php:1
unit-ErrorPage500Test:Unit Test ErrorPage500Test:vendor/bin/phpunit tests/Unit/ErrorPage500Test.php:1
unit-EnvironmentDocumentationTest:Unit Test EnvironmentDocumentationTest:vendor/bin/phpunit tests/Unit/EnvironmentDocumentationTest.php:1
unit-ErrorPage404Test:Unit Test ErrorPage404Test:vendor/bin/phpunit tests/Unit/ErrorPage404Test.php:1
unit-EventHandlingTest:Unit Test EventHandlingTest:vendor/bin/phpunit tests/Unit/EventHandlingTest.php:1
unit-FactoriesTest:Unit Test FactoriesTest:vendor/bin/phpunit tests/Unit/FactoriesTest.php:2
unit-EventServiceTest:Unit Test EventServiceTest:vendor/bin/phpunit tests/Unit/EventServiceTest.php:1
unit-ExportEndpointTest:Unit Test ExportEndpointTest:vendor/bin/phpunit tests/Unit/ExportEndpointTest.php:1
unit-ExistsValidationTest:Unit Test ExistsValidationTest:vendor/bin/phpunit tests/Unit/ExistsValidationTest.php:1
unit-FileCacheDriverTest:Unit Test FileCacheDriverTest:vendor/bin/phpunit tests/Unit/FileCacheDriverTest.php:1
unit-FAQDocumentationTest:Unit Test FAQDocumentationTest:vendor/bin/phpunit tests/Unit/FAQDocumentationTest.php:1
unit-FederatedLearningTest:Unit Test FederatedLearningTest:vendor/bin/phpunit tests/Unit/FederatedLearningTest.php:1
unit-FileUploadEndpointTest:Unit Test FileUploadEndpointTest:vendor/bin/phpunit tests/Unit/FileUploadEndpointTest.php:1
unit-FileServiceTest:Unit Test FileServiceTest:vendor/bin/phpunit tests/Unit/FileServiceTest.php:1
unit-FileUploadPageTest:Unit Test FileUploadPageTest:vendor/bin/phpunit tests/Unit/FileUploadPageTest.php:1
unit-FileValidationTest:Unit Test FileValidationTest:vendor/bin/phpunit tests/Unit/FileValidationTest.php:1
unit-FilterEndpointTest:Unit Test FilterEndpointTest:vendor/bin/phpunit tests/Unit/FilterEndpointTest.php:1
unit-FirewallRulesTest:Unit Test FirewallRulesTest:vendor/bin/phpunit tests/Unit/FirewallRulesTest.php:1
unit-FilterFunctionalityTest:Unit Test FilterFunctionalityTest:vendor/bin/phpunit tests/Unit/FilterFunctionalityTest.php:1
unit-FilteringFunctionalityTest:Unit Test FilteringFunctionalityTest:vendor/bin/phpunit tests/Unit/FilteringFunctionalityTest.php:1
unit-FooterComponentTest:Unit Test FooterComponentTest:vendor/bin/phpunit tests/Unit/FooterComponentTest.php:1
unit-FloatValidationTest:Unit Test FloatValidationTest:vendor/bin/phpunit tests/Unit/FloatValidationTest.php:1
unit-ForeignKeysTest:Unit Test ForeignKeysTest:vendor/bin/phpunit tests/Unit/ForeignKeysTest.php:1
unit-FormatStringPreventionTest:Unit Test FormatStringPreventionTest:vendor/bin/phpunit tests/Unit/FormatStringPreventionTest.php:1
unit-FrenchLanguageTest:Unit Test FrenchLanguageTest:vendor/bin/phpunit tests/Unit/FrenchLanguageTest.php:1
unit-FunctionOptimizationTest:Unit Test FunctionOptimizationTest:vendor/bin/phpunit tests/Unit/FunctionOptimizationTest.php:1
unit-FunctionAuthorizationTest:Unit Test FunctionAuthorizationTest:vendor/bin/phpunit tests/Unit/FunctionAuthorizationTest.php:1
unit-GermanLanguageTest:Unit Test GermanLanguageTest:vendor/bin/phpunit tests/Unit/GermanLanguageTest.php:1
unit-FunctionDocumentationTest:Unit Test FunctionDocumentationTest:vendor/bin/phpunit tests/Unit/FunctionDocumentationTest.php:1
unit-GDPRComplianceTest:Unit Test GDPRComplianceTest:vendor/bin/phpunit tests/Unit/GDPRComplianceTest.php:1
unit-HeaderComponentTest:Unit Test HeaderComponentTest:vendor/bin/phpunit tests/Unit/HeaderComponentTest.php:1
